	JD-11	JD-217	JD-214	JD-111	JD-207	JD-205	JD-110	JD-197	JD-29	JD-28	JD-25	JD-237
ASV_141	0	0	0	0	0	0	0	0	0	25	0	0
ASV_142	0	0	0	0	0	0	0	0	0	25	0	0
ASV_143	0	0	0	0	0	0	0	0	0	25	0	0
ASV_144	0	0	0	0	0	0	0	0	0	25	0	0
ASV_145	0	0	0	0	0	0	0	0	0	0	0	25
ASV_146	0	0	4	0	0	8	0	0	2	0	4	6
ASV_147	0	0	0	0	0	0	0	0	0	24	0	0
ASV_148	0	0	0	0	0	0	0	0	0	24	0	0
ASV_149	0	0	0	0	0	0	0	0	0	24	0	0
ASV_150	0	0	0	0	0	0	0	0	0	24	0	0
ASV_151	0	0	0	0	0	23	0	0	0	0	0	0
ASV_152	0	0	0	0	0	23	0	0	0	0	0	0
ASV_153	0	0	0	0	0	0	0	0	0	23	0	0
ASV_154	3	0	4	0	0	3	0	0	0	8	4	0
ASV_155	0	0	0	0	0	22	0	0	0	0	0	0
ASV_156	21	0	0	0	0	0	0	0	0	0	0	0
ASV_157	0	0	0	0	0	21	0	0	0	0	0	0
ASV_158	0	0	0	0	0	0	0	0	0	21	0	0
ASV_159	0	0	0	0	0	0	0	0	0	21	0	0
ASV_160	0	0	0	0	0	0	0	0	0	21	0	0
ASV_161	0	0	0	0	0	0	0	0	0	21	0	0
ASV_162	0	0	0	0	0	0	0	0	0	21	0	0
ASV_163	0	0	0	0	0	0	0	0	0	21	0	0
ASV_164	20	0	0	0	0	0	0	0	0	0	0	0
ASV_165	20	0	0	0	0	0	0	0	0	0	0	0
ASV_166	0	0	0	0	0	20	0	0	0	0	0	0
ASV_167	0	0	0	0	0	20	0	0	0	0	0	0
ASV_168	0	0	0	0	0	0	0	0	0	20	0	0
ASV_169	0	0	0	0	0	0	0	0	0	20	0	0
ASV_170	19	0	0	0	0	0	0	0	0	0	0	0
ASV_171	19	0	0	0	0	0	0	0	0	0	0	0
ASV_172	1	0	0	0	2	3	0	0	2	7	0	4
ASV_173	0	0	0	0	0	0	0	0	0	19	0	0
ASV_174	18	0	0	0	0	0	0	0	0	0	0	0
ASV_175	18	0	0	0	0	0	0	0	0	0	0	0
ASV_176	18	0	0	0	0	0	0	0	0	0	0	0
ASV_177	0	0	0	0	0	18	0	0	0	0	0	0
ASV_178	0	0	0	0	0	0	0	0	0	18	0	0
ASV_179	0	0	0	0	0	0	0	0	0	18	0	0
